Sample_ID,EMS
O09-03495,0.52
O10-12717,0.375
O14-02301,0.6325000000000001
O16-11870,0.6325000000000001
O16-18464,0.5050000000000001
O17-01529,0.5125
O18-12772,0.655
S08-31466,0.375
S09-15833,0.375
S09-19750,0.24
S10-00647,0.36
S10-09633,0.5050000000000001
S11-15267,0.535
S11-24835,0.5125
S12-07776,0.58
S12-22754,0.34500000000000003
S12-28303,0.375
S12-35886,0.625
S13-07627,0.30000000000000004
S13-08586,0.5574999999999999
S13-11381,0.535
S13-15979,0.30000000000000004
S13-31494,0.44999999999999996
S13-33035,0.6025
S14-01774,0.52
S14-04504,0.42000000000000004
S14-12226,0.195
S14-12770,0.195
S14-12928,0.565
S14-13440,0.34500000000000003
S14-13994,0.33
S14-15197,0.52
S14-16118,0.6475
S15-00942,0.6025
S15-02790,0.565
S15-03056,0.495
S15-05781,0.15000000000000002
S15-05979,0.30000000000000004
S15-06857,0.255
S15-10140,0.535
S15-12411,0.43499999999999994
S15-12838,0.5050000000000001
S15-13623,0.52
S15-14834,0.495
S15-15318,0.6625000000000001
S15-20350,0.39
S15-27036,0.495
S15-28568,0.495
S16-00356,0.6925
S16-01567,0.315
S16-06544,0.64
S16-08071,0.255
S16-11632,0.5874999999999999
S16-12501,0.18
S16-19596,0.43499999999999994
S16-20727,0.7
S16-23506,0.375
S16-28041,0.18
S16-28729,0.44999999999999996
S16-29941,0.39
S16-30001,0.52
S16-30545,0.495
S16-32975,0.34500000000000003
S17-00215,0.495
S17-00970,0.5125
S17-08236,0.36
S17-08865,0.565
S17-08918,0.39
S17-14190,0.5125
S17-14334,0.5874999999999999
S17-20728,0.24
S17-22163,0.44999999999999996
S18-03825,0.34500000000000003
S18-03934,0.36
S18-05363,0.405
S18-09519,0.625
S18-10074,0.7
S18-12553,0.405
S18-15441,0.33
S18-18704,0.24
S18-25097,0.39
S18-27506,0.43499999999999994
S18-30424,0.5574999999999999
S18-31022,0.5275
S18-32412,0.255
